2024-05-31 08:20:54,715 - Total number of samples: 875
2024-05-31 08:25:12,626 - Batch [2 / 54], Loss: 11.631896
2024-05-31 08:25:14,350 - Batch [3 / 54], Loss: 8.547347
2024-05-31 08:25:16,049 - Batch [4 / 54], Loss: 8.671647
2024-05-31 08:25:17,756 - Batch [5 / 54], Loss: 10.667097
2024-05-31 08:25:19,448 - Batch [6 / 54], Loss: 10.960870
2024-05-31 08:25:21,148 - Batch [7 / 54], Loss: 11.588549
2024-05-31 08:25:22,865 - Batch [8 / 54], Loss: 13.655715
2024-05-31 08:25:24,569 - Batch [9 / 54], Loss: 10.922308
2024-05-31 08:25:26,283 - Batch [10 / 54], Loss: 14.910819
2024-05-31 08:25:28,002 - Batch [11 / 54], Loss: 11.262372
2024-05-31 08:25:29,735 - Batch [12 / 54], Loss: 11.282367
2024-05-31 08:25:31,445 - Batch [13 / 54], Loss: 9.961231
2024-05-31 08:25:33,138 - Batch [14 / 54], Loss: 11.382593
2024-05-31 08:25:34,830 - Batch [15 / 54], Loss: 13.362225
2024-05-31 08:25:36,540 - Batch [16 / 54], Loss: 14.547406
2024-05-31 08:25:38,229 - Batch [17 / 54], Loss: 11.488870
2024-05-31 08:25:39,919 - Batch [18 / 54], Loss: 8.105282
2024-05-31 08:25:41,597 - Batch [19 / 54], Loss: 11.640287
2024-05-31 08:25:43,292 - Batch [20 / 54], Loss: 9.546282
2024-05-31 08:25:44,990 - Batch [21 / 54], Loss: 9.933817
2024-05-31 08:25:46,704 - Batch [22 / 54], Loss: 10.021412
2024-05-31 08:25:48,398 - Batch [23 / 54], Loss: 9.142912
2024-05-31 08:25:50,108 - Batch [24 / 54], Loss: 9.653419
2024-05-31 08:25:51,821 - Batch [25 / 54], Loss: 9.507549
2024-05-31 08:25:53,551 - Batch [26 / 54], Loss: 11.432054
2024-05-31 08:25:55,295 - Batch [27 / 54], Loss: 10.725596
2024-05-31 08:25:57,030 - Batch [28 / 54], Loss: 6.257302
2024-05-31 08:25:58,748 - Batch [29 / 54], Loss: 9.956825
2024-05-31 08:26:00,461 - Batch [30 / 54], Loss: 9.759999
2024-05-31 08:26:02,206 - Batch [31 / 54], Loss: 9.600872
2024-05-31 08:26:03,945 - Batch [32 / 54], Loss: 13.863453
2024-05-31 08:26:05,687 - Batch [33 / 54], Loss: 8.761561
2024-05-31 08:26:07,418 - Batch [34 / 54], Loss: 13.191125
2024-05-31 08:26:09,155 - Batch [35 / 54], Loss: 12.128018
2024-05-31 08:26:10,871 - Batch [36 / 54], Loss: 11.673861
2024-05-31 08:26:12,599 - Batch [37 / 54], Loss: 15.571247
2024-05-31 08:26:14,326 - Batch [38 / 54], Loss: 10.832806
2024-05-31 08:26:16,075 - Batch [39 / 54], Loss: 11.230652
2024-05-31 08:26:17,798 - Batch [40 / 54], Loss: 10.022584
2024-05-31 08:26:19,530 - Batch [41 / 54], Loss: 10.008365
2024-05-31 08:26:21,264 - Batch [42 / 54], Loss: 11.274337
2024-05-31 08:26:23,001 - Batch [43 / 54], Loss: 13.849107
2024-05-31 08:26:24,761 - Batch [44 / 54], Loss: 12.591488
2024-05-31 08:26:26,511 - Batch [45 / 54], Loss: 11.052939
2024-05-31 08:26:28,249 - Batch [46 / 54], Loss: 10.718976
2024-05-31 08:26:29,988 - Batch [47 / 54], Loss: 8.703532
2024-05-31 08:26:31,751 - Batch [48 / 54], Loss: 14.179799
