2024-05-31 10:00:25,330 - Total number of samples: 875
2024-05-31 10:02:04,876 - Batch [21 / 54], Loss: 19.382738
2024-05-31 10:02:05,468 - Batch [22 / 54], Loss: 12.464126
2024-05-31 10:02:05,961 - Batch [23 / 54], Loss: 15.209664
2024-05-31 10:02:06,546 - Batch [24 / 54], Loss: 12.074630
2024-05-31 10:02:07,028 - Batch [25 / 54], Loss: 13.636297
2024-05-31 10:02:08,100 - Batch [26 / 54], Loss: 13.144235
2024-05-31 10:02:08,702 - Batch [27 / 54], Loss: 12.526958
2024-05-31 10:02:09,308 - Batch [28 / 54], Loss: 16.770494
2024-05-31 10:02:09,983 - Batch [29 / 54], Loss: 15.204352
2024-05-31 10:02:10,506 - Batch [30 / 54], Loss: 16.516512
2024-05-31 10:02:11,004 - Batch [31 / 54], Loss: 12.662886
2024-05-31 10:02:11,516 - Batch [32 / 54], Loss: 19.041037
2024-05-31 10:02:12,020 - Batch [33 / 54], Loss: 14.329302
2024-05-31 10:02:12,496 - Batch [34 / 54], Loss: 17.402575
2024-05-31 10:02:13,008 - Batch [35 / 54], Loss: 16.507334
2024-05-31 10:02:13,515 - Batch [36 / 54], Loss: 15.520785
2024-05-31 10:02:14,006 - Batch [37 / 54], Loss: 15.576691
2024-05-31 10:02:14,474 - Batch [38 / 54], Loss: 14.407471
2024-05-31 10:02:15,050 - Batch [39 / 54], Loss: 13.955132
2024-05-31 10:02:15,573 - Batch [40 / 54], Loss: 12.687125
2024-05-31 10:02:16,057 - Batch [41 / 54], Loss: 10.496638
2024-05-31 10:02:16,370 - Batch [42 / 54], Loss: 12.763306
2024-05-31 10:02:16,753 - Batch [43 / 54], Loss: 13.619599
2024-05-31 10:02:17,106 - Batch [44 / 54], Loss: 12.098770
2024-05-31 10:02:17,450 - Batch [45 / 54], Loss: 13.584325
2024-05-31 10:02:17,814 - Batch [46 / 54], Loss: 7.967911
2024-05-31 10:02:18,122 - Batch [47 / 54], Loss: 13.131477
2024-05-31 10:02:18,659 - Batch [48 / 54], Loss: 12.762259
2024-05-31 10:02:19,127 - Batch [49 / 54], Loss: 13.029597
2024-05-31 10:02:19,854 - Batch [50 / 54], Loss: 10.915012
